Parent,Child
348.0,348.7
352.0,352.1
352.0,352.2
353.0,353.1
353.0,353.2
358.0,358.1
359.0,359.1
359.0,359.2
360.0,360.2
360.0,360.3
371.0,371.1
371.0,371.21
371.0,371.2
371.0,371.3
371.0,371.33
371.0,371.9
361.0,361.1
361.0,361.2
362.0,362.4
362.0,362.3
362.0,362.1
362.0,362.31
362.0,362.2
362.0,362.29
362.0,362.21
362.0,362.22
362.0,362.23
362.0,362.5
362.0,362.26
362.0,362.27
362.0,362.6
362.0,362.7
362.0,362.8
362.0,362.9
362.3,362.31
362.2,362.29
362.2,362.21
362.2,362.22
362.2,362.23
362.2,362.26
362.2,362.27
363.0,363.3
363.0,363.4
379.5,379.51
365.0,365.1
365.0,365.2
365.0,365.11
365.0,365.5
365.1,365.11
366.0,366.1
366.0,366.2
366.0,366.3
367.0,367.8
367.0,367.1
367.0,367.2
367.0,367.4
367.0,367.9
368.0,368.3
368.0,368.7
368.0,368.1
368.0,368.9
368.0,368.91
368.0,368.2
368.0,368.4
368.0,368.5
368.9,368.91
370.0,370.1
370.0,370.2
370.0,370.3
370.0,370.31
370.3,370.31
364.0,364.1
364.0,364.2
364.0,364.4
364.0,364.5
364.0,364.51
364.0,364.41
364.0,364.9
364.4,364.41
364.5,364.51
371.2,371.21
371.3,371.33
695.4,695.41
695.4,695.42
374.0,374.1
374.0,374.2
374.0,374.3
374.0,374.6
375.0,375.1
375.0,375.2
379.0,379.5
379.0,379.51
379.0,379.1
379.0,379.2
379.0,379.3
379.0,379.4
379.0,379.9
242.3,242.31
377.0,377.1
377.0,377.3
378.0,378.1
378.0,378.5
378.0,378.2
380.0,380.1
380.0,380.4
381.0,381.1
381.0,381.2
381.0,381.11
381.0,381.3
381.0,381.9
384.0,384.1
384.0,384.4
385.0,385.3
385.0,385.5
386.0,386.1
386.0,386.2
386.0,386.21
386.0,386.3
386.0,386.9
386.2,386.21
389.0,389.3
389.0,389.4
389.0,389.5
389.0,389.2
389.0,389.1
394.0,394.4
394.0,394.2
394.0,394.3
394.0,394.1
394.0,394.7
401.2,401.21
401.2,401.22
411.0,411.2
411.0,411.1
411.0,411.9
411.0,411.4
411.0,411.3
411.0,411.8
411.0,411.41
411.4,411.41
415.1,415.11
415.2,415.21
415.0,415.1
415.0,415.11
415.0,415.2
415.0,415.21
395.0,395.1
395.0,395.2
395.0,395.3
395.0,395.4
395.0,395.6
425.0,425.1
425.0,425.11
425.0,425.12
425.0,425.8
425.0,425.2
425.1,425.11
425.1,425.12
426.2,426.24
426.2,426.21
426.2,426.22
426.2,426.23
426.2,426.25
426.3,426.32
426.3,426.31
426.0,426.8
426.0,426.24
426.0,426.2
426.0,426.21
426.0,426.22
426.0,426.23
426.0,426.32
426.0,426.31
426.0,426.3
426.0,426.25
426.0,426.4
426.0,426.7
426.0,426.91
426.0,426.92
426.0,426.9
427.0,427.11
427.0,427.12
427.0,427.1
427.0,427.2
427.0,427.21
427.0,427.22
427.0,427.4
427.0,427.41
427.0,427.42
427.0,427.6
427.0,427.61
427.0,427.3
427.0,427.8
427.0,427.5
427.0,427.7
427.0,427.9
427.1,427.11
427.1,427.12
427.2,427.21
427.2,427.22
427.4,427.41
427.4,427.42
427.6,427.61
428.0,428.1
428.0,428.2
428.0,428.3
428.0,428.4
414.0,414.2
429.0,429.1
429.0,429.3
429.0,429.2
429.0,429.9
430.0,430.1
430.0,430.2
430.0,430.3
433.1,433.11
433.1,433.12
433.2,433.21
433.0,433.6
433.0,433.1
433.0,433.11
433.0,433.2
433.0,433.21
433.0,433.31
433.0,433.12
433.0,433.3
433.0,433.5
433.0,433.32
433.0,433.8
433.3,433.31
433.3,433.32
440.0,440.9
440.0,440.1
440.0,440.2
440.0,440.22
440.0,440.21
440.2,440.22
440.2,440.21
442.1,442.11
442.0,442.1
442.0,442.11
442.0,442.8
442.0,442.2
442.0,442.3
442.0,442.4
443.0,443.1
443.0,443.8
443.0,443.7
443.0,443.9
444.0,444.2
444.0,444.1
444.0,444.5
446.0,446.1
446.0,446.6
446.0,446.2
446.0,446.3
446.0,446.4
446.0,446.5
446.0,446.8
446.0,446.7
446.0,446.9
447.0,447.1
447.0,447.7
451.0,451.2
452.0,452.1
452.0,452.2
452.0,452.8
454.1,454.11
454.0,454.1
454.0,454.11
458.0,458.1
458.0,458.9
458.0,458.2
459.0,459.9
459.0,459.1
459.0,459.7
475.0,475.9
474.0,474.1
474.0,474.2
473.0,473.1
473.0,473.3
473.0,473.4
496.2,496.21
495.0,495.2
495.0,495.1
495.0,495.11
495.1,495.11
496.0,496.2
496.0,496.21
496.0,496.1
496.0,496.3
500.0,500.1
500.0,500.2
504.0,504.1
510.0,510.2
509.0,509.3
509.0,509.1
509.0,509.2
509.0,509.5
509.0,509.8
512.0,512.7
512.0,512.1
512.0,512.9
512.0,512.8
512.0,512.2
512.0,512.3
519.0,519.1
519.0,519.8
519.0,519.9
519.0,519.2
520.0,520.1
520.0,520.2
521.0,521.1
521.0,521.2
521.0,521.4
522.0,522.1
522.0,522.5
523.0,523.31
523.0,523.32
523.0,523.1
523.0,523.3
523.3,523.31
523.3,523.32
524.0,524.3
526.4,526.41
526.4,526.42
525.0,525.1
525.0,525.2
526.0,526.3
526.0,526.4
526.0,526.41
526.0,526.42
526.0,526.1
526.0,526.5
526.0,526.9
526.0,526.8
527.0,527.1
527.0,527.2
527.0,527.7
527.0,527.8
528.0,528.3
528.0,528.7
528.0,528.41
528.0,528.11
528.0,528.1
528.0,528.12
528.0,528.4
528.0,528.5
528.0,528.6
528.1,528.11
528.1,528.12
528.4,528.41
