Parent,Child
1362,218700
1362,216654
1362,216658
1362,216659
1362,216660
1362,1874004
1362,216662
1362,215639
1362,346199
1362,1919068
1362,1092190
1362,1291870
1362,218208
1362,262241
1362,215138
1362,1093219
1362,1648222
1362,806507
1362,1092203
1362,216685
1362,215150
1362,1291885
1362,1535598
1362,1550958
1362,1437301
1362,218233
1362,1049722
1362,1293949
1362,1293951
1362,1092740
1362,1112710
1362,1092744
1362,1233547
1362,1664653
1362,1293966
1362,215185
1362,1293970
1362,1293976
1362,1293978
1362,1314972
1362,216224
1362,1293985
1362,1922722
1362,895656
1362,1250474
1362,1293994
1362,218798
1362,901813
1362,1294006
1362,203457
1362,1420993
1362,217286
1362,1049288
1362,1291976
1362,1291980
1362,217293
1362,1089742
1362,1291983
1362,1291988
1362,701655
1362,1245399
1362,1535703
1362,215788
1362,541425
1362,216819
1362,579827
1362,1292021
1362,1292023
1362,219896
1362,702204
1362,1310476
1362,1294606
1362,1310482
1362,1092372
1362,702229
1362,1233688
1362,1049883
1362,215327
1362,1049887
1362,1092384
1362,997155
1362,1789739
1362,794924
1362,1086764
1362,1789741
1362,1052463
1362,656688
1362,1092399
1362,1094448
1362,152371
1362,219956
1362,1101108
1362,607032
1362,1488697
1362,1092413
1362,882503
1362,1092425
1362,23371
1362,1094475
1362,2174797
1362,219982
1362,900446
1362,405347
1362,1092451
1362,1088357
1362,1609065
1362,1116529
1362,214899
1362,1235318
1362,1608060
1362,152959
1362,1722239
1362,217990
1362,996743
1362,1293704
1362,220556
1362,220559
1362,701329
1362,1090453
1362,801181
1362,220581
1362,829351
1362,1094056
1362,866224
1362,1235376
1362,1249714
1362,1249716
1362,1251769
1362,1053139
1362,215002
1362,747998
1362,220640
1362,262115
1362,219110
1362,902630
1362,1093099
1362,216557
1362,643061
1362,1251837
1362,217598
1379,1046528
1379,1038852
1379,1053189
1379,1876497
1379,1053203
1379,1494036
1379,1039384
1379,1494042
1379,1039388
1379,1042974
1379,1367078
1379,1549866
1379,1039403
1379,2288171
1379,1089075
1379,1043015
1379,543817
1379,1235018
1379,1094731
1379,1014350
1379,1364048
1379,1598035
1379,215642
1379,1113692
1379,1302623
1379,1310816
1379,1300069
1379,1039979
1379,1039984
1379,1437296
1379,1039988
1379,1495156
1379,1376379
1379,1426560
1379,1431683
1379,2375302
1379,1442960
1379,1049236
1379,1049242
1379,1251482
1379,1039004
1379,2375838
1379,1251487
1379,1039008
1379,2109602
1379,1493156
1379,2371244
1379,1049263
1379,2288821
1379,2368186
1379,1049277
1379,1356485
1379,1095369
1379,1049294
1379,1357527
1379,729818
1379,1038560
1379,1855721
1379,727283
1379,1422072
1379,1489153
1379,2048258
1379,1489159
1379,1310472
1379,1052425
1379,997657
1379,1049370
1379,1049373
1379,1012515
1379,1049380
1379,1049393
1379,1049395
1379,1049397
1379,1090872
1379,1095482
1379,1049403
1379,2360641
1379,882499
1379,1114977
1379,1014626
1379,1114979
1379,1012071
1379,1043306
1379,1539437
1379,1043321
1379,1429883
1379,2371978
1379,1603469
1379,747921
1379,1042835
1379,1038740
1379,1042837
1379,1038742
1379,1099158
1379,1426837
1379,1047450
1379,1246624
1379,1042853
1379,1232294
1379,1038760
1379,1038765
1379,1427375
1379,1042865
1379,225714
1379,1663409
1379,1810865
1379,1423287
1379,1116095
1379,1038785
1379,1544641
1379,1089989
1379,1038792
1379,1041865
1379,1788872
1379,1020366
1379,1740246
1379,1423324
1379,1038817
1379,1045478
1379,1012712
1379,1038831
1379,1039344
1379,219123
1379,1038837
1379,215543
1379,1039356
1516,47847
1516,1660746
1516,358827
1516,203699
1516,814394
1516,1007039
1601,1369442
1601,281941
1601,1369447
1737,2176260
1737,151447
1851,349650
1851,203547
1851,333100
1851,333101
1903,203786
1903,385546
1903,847702
1904,331232
1904,331233
1904,438258
1904,439701
1904,438140
1904,331231
1918,669602
1918,1314787
1918,349892
1918,350500
1918,438086
1918,1087620
1918,994795
1918,1102187
1918,994797
1918,336942
1918,1314667
1918,1090064
1918,968659
1918,1102197
1918,1314680
1918,438073
1918,1102203
1918,891519
2018,227467
2117,861346
2117,285091
2117,861348
2117,437072
2117,1372758
2117,1928854
2117,584570
2287,1291385
2287,1291267
2287,1291259
2287,1304967
2287,1875463
2287,1089034
2287,2104584
2287,1291149
2287,452623
2287,1251607
2287,1291293
2287,1599134
2287,1485223
2287,1291313
2287,1251763
2287,1298739
2287,1298741
2287,1112700
2287,1048396
2287,1291215
2287,360786
2287,1251795
2287,1291602
2287,806613
2287,1251797
2287,1251799
2287,2264790
2287,1600731
2287,1291362
2287,1088228
2287,1291237
2287,753512
2287,1251817
2287,1251821
2287,1542893
2287,1090936
2287,1112697
2287,1090938
2287,1100923
2287,1144828
2287,1100925
2287,1236222
2323,858336
2323,331365
2323,331366
2323,151505
2323,151506
2323,385209
2344,861184
2344,861186
2344,315620
2344,315621
2344,315622
2344,315623
2344,315624
2344,315625
2344,385478
2344,438410
2344,438411
2344,438412
2344,332750
2344,332751
2344,215376
2344,435476
2344,352981
2359,834310
2359,2360593
2359,834296
2359,834302
2359,2045119
2361,834307
2361,834292
2369,337302
2451,1114510
2451,332587
2451,577798
2453,331692
2557,216066
2557,1012710
2557,1012716
2557,1012718
2557,1012699
2557,151518
2607,217280
2607,618755
2607,542789
2607,542858
2607,618763
2607,618736
2607,1149619
2607,542964
2607,202966
2607,542968
2607,618745
2607,618748
2672,993793
2672,995842
2672,219141
2672,540688
2672,218130
