CCS,CPT
26,69676
26,69667
26,69806
26,69000
26,69150
26,69661
26,69710
26,69399
27,30905
27,30906
27,31241
27,30903
27,30920
27,42970
27,31238
27,30915
27,30901
28,30450
28,30620
28,30400
28,30430
28,30462
28,30465
28,30420
28,30540
28,30545
28,30520
28,30410
28,30630
28,30460
28,30435
29,41823
29,41874
29,41850
29,41826
29,41827
29,41825
29,41805
29,21110
29,41800
29,41830
29,41822
29,41828
29,41806
29,21497
29,41821
29,41899
30,42836
30,42820
30,42826
30,42830
30,42831
30,42860
30,42821
30,42835
30,42870
30,42825
31,92614
31,42806
31,41105
31,31235
31,92504
31,41108
31,92612
31,92615
31,92700
31,40490
31,42100
31,92610
31,31233
31,41100
31,92616
31,42800
31,40808
31,30100
31,92617
31,42804
31,92512
31,92611
31,42400
31,31231
31,92502
31,42405
31,31237
31,92613
31,92511
32,41010
32,40830
32,21081
32,40899
32,31299
32,41530
32,30999
32,42699
32,42280
32,21077
32,42960
32,21085
32,42650
32,21082
32,21083
32,30210
32,42660
32,30310
32,21076
32,21086
32,41599
32,40831
32,30020
32,41250
32,40806
32,42999
32,41252
32,99188
32,42299
32,30802
32,40799
32,30801
32,30118
32,42160
32,30200
32,21087
32,21080
32,41251
32,42000
32,31000
32,30220
32,21084
32,41115
32,21079
32,40820
32,21088
32,31002
32,21089
32,92526
33,42408
33,31294
33,42205
33,40761
33,31020
33,41130
33,31080
33,42227
33,30130
33,41153
33,41007
33,21100
33,41017
33,40844
33,42892
33,42500
33,42972
33,31051
33,31267
33,30160
33,31295
33,41145
33,31086
33,42665
33,30115
33,42335
33,40819
33,42410
33,40650
33,31296
33,40520
33,40720
33,40814
33,31256
33,42510
33,40652
33,42842
33,42950
33,42235
33,30150
33,31081
33,31255
33,41510
33,40842
33,41872
33,31240
33,41018
33,41006
33,42226
33,40510
33,41110
33,42145
33,42720
33,42281
33,31070
33,42900
33,30560
33,43030
33,40801
33,40840
33,30600
33,31298
33,41113
33,42415
33,30125
33,31201
33,41016
33,41008
33,42120
33,40530
33,42182
33,31087
33,40816
33,41870
33,42955
33,41120
33,41000
33,42215
33,40843
33,41015
33,41135
33,31287
33,42808
33,42953
33,42140
33,42340
33,42330
33,42725
33,42890
33,42426
33,41512
33,42810
33,31200
33,42305
33,41140
33,41155
33,42962
33,42845
33,31276
33,31239
33,31254
33,31205
33,41009
33,42104
33,31390
33,40800
33,42310
33,31050
33,31297
33,42210
33,31084
33,40654
33,31257
33,41116
33,42300
33,40525
33,42180
33,42440
33,40527
33,42425
33,31291
33,42505
33,42815
33,30000
33,42894
33,31085
33,40500
33,41820
33,40700
33,31288
33,31090
33,30110
33,31040
33,41150
33,31292
33,31030
33,40810
33,31293
33,31032
33,41112
33,42220
33,42961
33,42320
33,30117
33,42844
33,42600
33,40702
33,42450
33,42200
33,42409
33,41114
33,42420
33,41005
33,42971
33,40701
33,31253
33,31395
33,42700
33,30580
33,42107
33,41520
33,31075
33,30140
33,40812
33,42225
33,40845
33,42507
33,42509
33,20912
33,31290
33,31259
33,42260
33,42106
34,31605
34,31610
34,31603
34,31614
34,31601
34,31613
34,31600
35,31505
35,31579
35,31515
35,31510
35,31576
35,31520
35,31575
35,31525
35,31536
35,31526
35,31615
35,31535
36,32440
36,32672
36,32445
36,32501
36,32506
36,32671
36,32663
36,32480
36,32488
36,32442
36,32484
36,32491
36,32482
36,32669
36,32505
36,32486
36,32666
36,32850
36,32667
36,32668
36,32670
37,31653
37,31624
37,31652
37,31626
37,31633
37,31622
37,31623
37,31717
37,31628
37,31629
37,31625
37,31627
37,31632
38,32096
38,94452
38,94200
38,32608
38,94621
38,94728
38,94726
38,94013
38,94729
38,94453
38,94060
38,32607
38,94450
38,94016
38,94150
38,32100
38,32097
38,94012
38,94014
38,94618
38,32507
38,94375
38,32098
38,94070
38,94727
38,94015
38,94011
38,94010
38,32609
38,94617
39,32554
39,32550
39,32036
39,32556
39,32557
39,32555
39,32035
39,32551
40,39402
40,32601
40,95012
40,32606
40,39401
40,32400
40,92520
41,32960
41,32560
41,31651
41,31899
41,31612
41,31725
41,31572
41,31502
41,31647
41,31578
41,39599
41,31720
41,32562
41,31599
41,94610
41,32701
41,39499
41,31513
41,31573
41,31574
41,31512
41,94799
41,32999
41,32552
41,32997
41,32553
41,31649
41,32561
41,31648
